,Government expenditure on education (% of GDP),Inequality in income (%),Total unemployment rate (female to male ratio),HDI
 Afghanistan,4.15,10.8,1.35,0.509
 Albania,2.5,13.2,0.85,0.792
 Argentina,5.5,25.8,1.28,0.842
 Armenia,2.75,17.4,0.97,0.771
 Australia,5.3,17.3,1.01,0.943
 Austria,5.5,15.9,0.93,0.921
 Azerbaijan,2.7,8.9,1.42,0.754
 Bangladesh,2,15.7,2.03,0.625
 Barbados,4.9,33.6,1.05,0.81
 Belarus,4.85,10.8,0.6,0.823
 Belgium,6.5,11.4,0.89,0.93
 Belize,7.25,37.9,2.17,0.714
 Benin,4,32,1.16,0.541
 Bhutan,6.6,20,1.73,0.649
 Burkina Faso,6,17.3,2.37,0.443
 Burundi,5,20.9,0.55,0.431
 Cambodia,2.2,14.3,1.47,0.585
 Cameroon,3.1,35.9,1.31,0.56
 Chad,2.2,28.4,0.82,0.397
 Chile,5.35,32.7,1.19,0.859
 Colombia,4.5,36.2,1.66,0.764
 Congo,3.6,31,1.13,0.573
 Congo (Democratic Republic of the),1.8,28.2,0.67,0.478
 Costa Rica,7,32.2,1.52,0.808
 Cyprus,6.3,14.3,1.09,0.885
 Czechia,5.6,9.2,1.56,0.898
 Côte d'Ivoire,4.4,24.4,1.36,0.534
 Djibouti,5.6,27.7,1.02,0.518
 El Salvador,3.6,23.2,0.9,0.67
 Estonia,5.2,15.5,0.98,0.889
 Finland,6.9,10.4,0.98,0.937
 Gambia,2.4,31.5,1.88,0.487
 Georgia,3.85,23.6,0.85,0.805
 Germany,4.8,17.7,0.77,0.946
 Ghana,4,25.3,1.04,0.606
 Guatemala,2.9,35.4,1.85,0.657
 Guinea,2.6,17.1,0.61,0.473
 Guyana,5.9,25.1,1.56,0.68
 Haiti,2.8,50.4,1.53,0.508
 Honduras,6.1,34.9,1.55,0.633
" Hong Kong, China (SAR)",3.3,25.6,0.82,0.946
 Hungary,4.7,16.1,1.15,0.85
 Iceland,7.5,11.7,0.89,0.946
 Iran (Islamic Republic of),4,19.7,1.85,0.785
 Ireland,3.7,15,0.98,0.951
 Israel,5.8,23.7,0.98,0.916
 Italy,3.8,21.3,1.21,0.89
 Jamaica,5.4,32,1.77,0.734
 Japan,3.2,6.3,0.85,0.917
 Jordan,3.6,17.9,1.82,0.728
 Kazakhstan,2.8,10.3,1.23,0.819
 Kenya,5.3,33.1,1.15,0.599
 Korea (Republic of),4.6,20.2,0.95,0.914
 Kyrgyzstan,6.3,12.2,1.14,0.696
 Latvia,4.7,18.5,0.76,0.863
 Lesotho,6.5,41.1,1.33,0.527
 Liberia,2.6,22.7,0.62,0.48
 Lithuania,4,21.8,0.79,0.876
 Madagascar,3.2,20.4,1.04,0.527
 Malawi,4.7,32.4,1.4,0.478
 Maldives,4.1,25.8,0.88,0.734
 Mali,3.45,15.4,1.21,0.431
 Mauritania,2.6,24.6,1.44,0.542
 Mauritius,4.8,18.2,2.17,0.801
 Mexico,4.9,36.3,1.07,0.776
 Moldova (Republic of),5.5,14,0.71,0.746
 Mongolia,4.65,15.7,0.82,0.735
 Mozambique,5.6,28.4,1.17,0.452
 Myanmar,2,19.9,1.67,0.579
 Nepal,5.2,16.3,0.73,0.596
 Netherlands,5.5,12.1,1.06,0.942
 New Zealand,6.4,16.4,1.08,0.928
 Nicaragua,4.2,29.2,1.02,0.659
 Niger,4.9,16.4,0.68,0.391
 Norway,8,12.7,0.88,0.956
 Pakistan,2.95,17.2,1.15,0.552
" Palestine, State of",5.5,16.6,1.87,0.708
 Papua New Guinea,1.9,28.9,0.38,0.549
 Paraguay,3.4,34,1.33,0.727
 Peru,3.7,28.3,1.04,0.771
 Poland,4.6,14.4,1,0.877
 Romania,3,20.7,0.74,0.823
 Russian Federation,3.7,18.7,0.97,0.823
 Rwanda,3.1,36.4,1.09,0.54
 Saint Lucia,3.7,27.4,1.2,0.758
 Sao Tome and Principe,5.1,14.9,2.35,0.624
 Senegal,4.7,27.7,1.15,0.516
 Serbia,3.65,19.7,1.15,0.803
 Sierra Leone,7.1,17.7,0.7,0.447
 Slovakia,3.9,11.7,1.15,0.858
 Slovenia,4.8,9.1,1.24,0.912
 South Africa,6.2,57.7,1.16,0.707
 South Sudan,1.25,32.3,1.21,0.429
 Spain,4.2,21.9,1.24,0.905
 Sri Lanka,2.1,21,2.39,0.779
 Sweden,7.7,13,0.98,0.943
 Switzerland,5.1,14.5,1.17,0.955
 Tanzania (United Republic of),3.7,22.4,1.74,0.524
 Timor-Leste,4.1,13.6,1.9,0.599
 Togo,5.4,25.1,0.62,0.51
 Uganda,2.5,24.9,1.77,0.538
 Ukraine,5.2,8.5,0.74,0.774
 United Kingdom,5.5,17,0.97,0.928
 Uruguay,4.8,22,1.47,0.816
 Vanuatu,4.7,19.7,1.24,0.603
 Viet Nam,4.2,18.1,0.85,0.7
 Zambia,4.7,48.6,1.17,0.589
 Zimbabwe,4.6,27,1.23,0.569
