Country,HDI,Unemploymentratefemaletomale,ShareOfSeatsInParliamentHeldByWomen,GenderInequalityIndexGII,InequalityInEducation,IncomeShareHeldByRichest10,InequalityInIncome,ExpectedYearsOfSchoolingyears,EducationIndex,GrossEnrolmentRatioSecondary,GrossEnrolmentRatioTertiary
Albania,0.795,0.9,29.5,0.181,12.3,24.8,13.2,14.7,0.746,95,55
Angola,0.581,1.02,30,0.536,34.3,39.6,28.9,11.8,0.5,51,9
Argentina,0.845,1.22,39.9,0.328,6,29.9,25.2,17.7,0.855,109,90
Armenia,0.776,1.03,23.5,0.245,2.9,29.2,17.4,13.1,0.74,83,55
Australia,0.944,1.02,36.6,0.097,2.7,27,17.3,22,0.924,150,113
Austria,0.922,0.95,38.5,0.069,2.9,23,14.1,16.1,0.865,100,85
Bangladesh,0.632,1.88,20.6,0.537,37.3,26.8,16.6,11.6,0.529,73,21
Belarus,0.823,0.58,34.9,0.118,3.7,21.4,10.8,15.4,0.838,102,87
Belgium,0.931,0.86,43.3,0.043,8.2,21.9,11.4,19.8,0.902,159,80
Benin,0.545,1.1,7.2,0.612,43.7,37.6,32,12.6,0.478,59,12
Bhutan,0.654,1.83,15.3,0.421,41.7,27.9,20,13,0.496,90,16
Brazil,0.765,1.35,15,0.408,21.2,42.5,41,15.4,0.694,101,51
Bulgaria,0.816,0.85,25.8,0.206,6.1,31.9,21.8,14.4,0.779,98,71
Burkina Faso,0.452,2.38,13.4,0.594,39.2,29.6,17.3,9.3,0.312,41,7
Burundi,0.433,0.54,38.8,0.504,39.5,31,20.9,11.1,0.417,48,6
Cameroon,0.563,1.31,29.3,0.56,31.7,35,35,12.1,0.547,60,13
Canada,0.929,0.9,33.2,0.08,2.7,25.1,18.1,16.2,0.894,114,69
Chad,0.398,0.83,14.9,0.71,43,32.4,28.4,7.3,0.288,23,3
Chile,0.851,1.16,22.7,0.247,10.4,36.3,31.1,16.4,0.81,102,88
Colombia,0.767,1.71,19.6,0.428,18.6,39.7,35.5,14.4,0.682,98,55
Congo (Democratic Republic of the),0.48,0.68,12,0.617,26.8,32,27.6,9.7,0.496,46,7
Costa Rica,0.81,1.49,45.6,0.288,11.6,36.3,33.9,15.7,0.726,133,55
Croatia,0.851,1.59,20.5,0.116,4.7,22.9,14.7,15.2,0.805,99,68
Cyprus,0.887,1.24,17.9,0.086,10.5,25.5,13.2,15.2,0.827,100,76
Czechia,0.9,1.52,20.6,0.136,1.4,21.5,8.9,16.8,0.89,103,64
Côte d'Ivoire,0.538,1.26,13.3,0.638,45.6,31.9,27,10,0.453,51,9
Denmark,0.94,1.11,39.1,0.038,2.9,24,11.4,18.9,0.92,129,81
Dominican Republic,0.756,1.97,24.3,0.455,15.8,35.2,30.4,14.2,0.666,80,60
Ecuador,0.759,1.51,38,0.384,13.9,34.4,29.9,14.6,0.702,101,45
Egypt,0.707,3.06,14.9,0.449,38.1,26.9,36.5,13.3,0.618,88,35
El Salvador,0.673,0.8,31,0.383,29.1,29.4,21.8,11.7,0.555,72,29
Estonia,0.892,0.94,29.7,0.086,2.3,22.5,14.8,16,0.882,118,70
Ethiopia,0.485,1.84,37.3,0.517,43.5,28.5,13.4,8.8,0.341,35,8
